,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,imdb_score
0,Avatar ,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,7.9
1,Pirates of the Caribbean: At World's End ,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,7.1
2,Spectre ,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,6.8
3,The Dark Knight Rises ,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,8.5
4,Star Wars: Episode VII - The Force Awakens             ,Doug Walker,Doug Walker,Rob Walker,,7.1
5,John Carter ,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,6.6
6,Spider-Man 3 ,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,6.2
7,Tangled ,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,7.8
8,Avengers: Age of Ultron ,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,7.5
9,Harry Potter and the Half-Blood Prince ,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,7.5
10,Batman v Superman: Dawn of Justice ,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,6.9
11,Superman Returns ,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,6.1
12,Quantum of Solace ,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,6.7
13,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,7.3
14,The Lone Ranger ,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,6.5
15,Man of Steel ,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,7.2
16,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,6.6
17,The Avengers ,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,8.1
18,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,6.7
19,Men in Black 3 ,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,6.8
